n_prey_initial,n_eaten,n_alive,size
1,1,0,large
1,1,0,large
1,0,1,large
3,3,0,large
3,2,1,large
3,3,0,large
2,2,0,large
2,2,0,large
2,2,0,large
4,4,0,large
4,3,1,large
4,4,0,large
6,6,0,large
6,4,2,large
6,6,0,large
8,7,1,large
8,7,1,large
8,4,4,large
12,12,0,large
12,4,8,large
12,4,8,large
16,4,12,large
16,10,6,large
16,8,8,large
1,0,1,medium
1,1,0,medium
1,0,1,medium
3,0,3,medium
3,1,2,medium
3,0,3,medium
2,0,2,medium
2,1,1,medium
2,1,1,medium
4,1,3,medium
4,2,2,medium
4,3,1,medium
6,5,1,medium
6,4,2,medium
6,4,2,medium
8,8,0,medium
8,6,2,medium
8,6,2,medium
12,8,4,medium
12,10,2,medium
12,9,3,medium
16,8,8,medium
16,9,7,medium
16,11,5,medium
1,0,1,small
1,0,1,small
1,1,0,small
3,2,1,small
3,0,3,small
3,1,2,small
2,1,1,small
2,0,2,small
2,1,1,small
4,3,1,small
4,1,3,small
4,4,0,small
6,5,1,small
6,5,1,small
6,6,0,small
8,6,2,small
8,4,4,small
8,7,1,small
12,4,8,small
12,9,3,small
12,11,1,small
16,7,9,small
16,13,3,small
16,7,9,small
