n_prey_initial,n_eaten,n_alive,species
2,2,0,G.d.celticus
2,2,0,G.d.celticus
2,0,2,G.d.celticus
2,0,2,G.d.celticus
2,2,0,G.d.celticus
2,2,0,G.d.celticus
2,2,0,G.d.celticus
2,2,0,G.d.celticus
2,2,0,G.d.celticus
2,2,0,G.d.celticus
2,2,0,G.d.celticus
2,2,0,G.d.celticus
2,2,0,G.d.celticus
2,2,0,G.d.celticus
2,2,0,G.d.celticus
2,2,0,G.d.celticus
4,1,3,G.d.celticus
4,4,0,G.d.celticus
4,1,3,G.d.celticus
4,3,1,G.d.celticus
4,4,0,G.d.celticus
4,3,1,G.d.celticus
4,3,1,G.d.celticus
4,0,4,G.d.celticus
4,4,0,G.d.celticus
4,3,1,G.d.celticus
4,2,2,G.d.celticus
4,3,1,G.d.celticus
4,4,0,G.d.celticus
4,1,3,G.d.celticus
4,3,1,G.d.celticus
4,2,2,G.d.celticus
6,6,0,G.d.celticus
6,1,5,G.d.celticus
6,5,1,G.d.celticus
6,4,2,G.d.celticus
6,6,0,G.d.celticus
6,4,2,G.d.celticus
6,4,2,G.d.celticus
6,4,2,G.d.celticus
6,5,1,G.d.celticus
6,6,0,G.d.celticus
6,5,1,G.d.celticus
6,6,0,G.d.celticus
6,5,1,G.d.celticus
6,1,5,G.d.celticus
6,0,6,G.d.celticus
6,3,3,G.d.celticus
8,5,3,G.d.celticus
8,5,3,G.d.celticus
8,8,0,G.d.celticus
8,8,0,G.d.celticus
8,4,4,G.d.celticus
8,1,7,G.d.celticus
8,8,0,G.d.celticus
8,2,6,G.d.celticus
8,8,0,G.d.celticus
8,6,2,G.d.celticus
8,5,3,G.d.celticus
8,7,1,G.d.celticus
8,4,4,G.d.celticus
8,4,4,G.d.celticus
8,7,1,G.d.celticus
8,4,4,G.d.celticus
10,1,9,G.d.celticus
10,6,4,G.d.celticus
10,7,3,G.d.celticus
10,7,3,G.d.celticus
10,2,8,G.d.celticus
10,6,4,G.d.celticus
10,5,5,G.d.celticus
10,6,4,G.d.celticus
10,5,5,G.d.celticus
10,6,4,G.d.celticus
10,4,6,G.d.celticus
10,6,4,G.d.celticus
10,3,7,G.d.celticus
10,1,9,G.d.celticus
10,6,4,G.d.celticus
10,1,9,G.d.celticus
20,4,16,G.d.celticus
20,6,14,G.d.celticus
20,8,12,G.d.celticus
20,4,16,G.d.celticus
20,12,8,G.d.celticus
20,1,19,G.d.celticus
20,2,18,G.d.celticus
20,7,13,G.d.celticus
20,4,16,G.d.celticus
20,8,12,G.d.celticus
20,7,13,G.d.celticus
20,7,13,G.d.celticus
20,8,12,G.d.celticus
20,8,12,G.d.celticus
20,3,17,G.d.celticus
20,14,6,G.d.celticus
30,2,28,G.d.celticus
30,10,20,G.d.celticus
30,13,17,G.d.celticus
30,5,25,G.d.celticus
30,3,27,G.d.celticus
30,6,24,G.d.celticus
30,4,26,G.d.celticus
30,6,24,G.d.celticus
30,10,20,G.d.celticus
30,4,26,G.d.celticus
30,4,26,G.d.celticus
30,5,25,G.d.celticus
30,1,29,G.d.celticus
30,5,25,G.d.celticus
30,3,27,G.d.celticus
30,13,17,G.d.celticus
