n_prey_initial,n_eaten,n_alive,species_predator,refuge
1,0,1,Gdc,hi
1,0,1,Gdc,hi
1,0,1,Gdc,hi
1,0,1,Gdc,hi
2,2,0,Gdc,hi
2,0,2,Gdc,hi
2,0,2,Gdc,hi
2,0,2,Gdc,hi
3,0,3,Gdc,hi
3,0,3,Gdc,hi
3,0,3,Gdc,hi
3,0,3,Gdc,hi
4,0,4,Gdc,hi
4,0,4,Gdc,hi
4,4,0,Gdc,hi
4,1,3,Gdc,hi
5,1,4,Gdc,hi
5,2,3,Gdc,hi
5,2,3,Gdc,hi
5,0,5,Gdc,hi
6,4,2,Gdc,hi
6,1,5,Gdc,hi
6,2,4,Gdc,hi
6,0,6,Gdc,hi
7,0,7,Gdc,hi
7,2,5,Gdc,hi
7,3,4,Gdc,hi
7,5,2,Gdc,hi
8,3,5,Gdc,hi
8,4,4,Gdc,hi
8,6,2,Gdc,hi
8,4,4,Gdc,hi
15,9,6,Gdc,hi
15,1,14,Gdc,hi
15,5,10,Gdc,hi
15,6,9,Gdc,hi
25,1,24,Gdc,hi
25,7,18,Gdc,hi
25,5,20,Gdc,hi
25,6,19,Gdc,hi
40,9,31,Gdc,hi
40,7,33,Gdc,hi
40,7,33,Gdc,hi
40,4,36,Gdc,hi
1,1,0,Gdc,lo
1,1,0,Gdc,lo
1,1,0,Gdc,lo
1,1,0,Gdc,lo
2,2,0,Gdc,lo
2,2,0,Gdc,lo
2,2,0,Gdc,lo
2,2,0,Gdc,lo
3,3,0,Gdc,lo
3,3,0,Gdc,lo
3,3,0,Gdc,lo
3,3,0,Gdc,lo
4,2,2,Gdc,lo
4,3,1,Gdc,lo
4,2,2,Gdc,lo
4,3,1,Gdc,lo
5,4,1,Gdc,lo
5,4,1,Gdc,lo
5,5,0,Gdc,lo
5,3,2,Gdc,lo
6,6,0,Gdc,lo
6,5,1,Gdc,lo
6,4,2,Gdc,lo
6,1,5,Gdc,lo
7,5,2,Gdc,lo
7,5,2,Gdc,lo
7,7,0,Gdc,lo
7,5,2,Gdc,lo
8,7,1,Gdc,lo
8,6,2,Gdc,lo
8,5,3,Gdc,lo
8,7,1,Gdc,lo
15,10,5,Gdc,lo
15,14,1,Gdc,lo
15,8,7,Gdc,lo
15,9,6,Gdc,lo
25,7,18,Gdc,lo
25,7,18,Gdc,lo
25,6,19,Gdc,lo
25,9,16,Gdc,lo
40,12,28,Gdc,lo
40,17,23,Gdc,lo
40,10,30,Gdc,lo
40,13,27,Gdc,lo
2,2,0,Gdc,mid
2,1,1,Gdc,mid
2,1,1,Gdc,mid
4,1,3,Gdc,mid
4,2,2,Gdc,mid
4,1,3,Gdc,mid
5,0,5,Gdc,mid
5,2,3,Gdc,mid
5,0,5,Gdc,mid
6,3,3,Gdc,mid
6,5,1,Gdc,mid
6,1,5,Gdc,mid
7,2,5,Gdc,mid
7,0,7,Gdc,mid
7,0,7,Gdc,mid
8,3,5,Gdc,mid
8,8,0,Gdc,mid
8,6,2,Gdc,mid
15,6,9,Gdc,mid
15,7,8,Gdc,mid
15,6,9,Gdc,mid
25,6,19,Gdc,mid
25,13,12,Gdc,mid
25,10,15,Gdc,mid
40,14,26,Gdc,mid
40,8,32,Gdc,mid
40,11,29,Gdc,mid
1,0,1,Gdc,mid 
1,1,0,Gdc,mid 
1,0,1,Gdc,mid 
1,0,1,Gdc,mid 
2,1,1,Gdc,mid 
3,1,2,Gdc,mid 
3,1,2,Gdc,mid 
3,0,3,Gdc,mid 
3,0,3,Gdc,mid 
4,3,1,Gdc,mid 
5,1,4,Gdc,mid 
6,5,1,Gdc,mid 
7,0,7,Gdc,mid 
8,2,6,Gdc,mid 
15,2,13,Gdc,mid 
25,7,18,Gdc,mid 
40,4,36,Gdc,mid 
