n_prey_initial,n_eaten,n_alive,species
2,0,2,G.pulex
2,2,0,G.pulex
2,2,0,G.pulex
2,2,0,G.pulex
2,2,0,G.pulex
2,2,0,G.pulex
2,2,0,G.pulex
2,2,0,G.pulex
2,2,0,G.pulex
2,2,0,G.pulex
2,2,0,G.pulex
2,2,0,G.pulex
2,2,0,G.pulex
2,2,0,G.pulex
2,2,0,G.pulex
2,2,0,G.pulex
4,4,0,G.pulex
4,4,0,G.pulex
4,4,0,G.pulex
4,4,0,G.pulex
4,3,1,G.pulex
4,4,0,G.pulex
4,4,0,G.pulex
4,3,1,G.pulex
4,4,0,G.pulex
4,2,2,G.pulex
4,4,0,G.pulex
4,4,0,G.pulex
4,4,0,G.pulex
4,3,1,G.pulex
4,4,0,G.pulex
4,2,2,G.pulex
6,5,1,G.pulex
6,6,0,G.pulex
6,6,0,G.pulex
6,3,3,G.pulex
6,5,1,G.pulex
6,6,0,G.pulex
6,6,0,G.pulex
6,5,1,G.pulex
6,2,4,G.pulex
6,5,1,G.pulex
6,6,0,G.pulex
6,6,0,G.pulex
6,3,3,G.pulex
6,4,2,G.pulex
6,6,0,G.pulex
6,6,0,G.pulex
8,3,5,G.pulex
8,8,0,G.pulex
8,6,2,G.pulex
8,5,3,G.pulex
8,4,4,G.pulex
8,4,4,G.pulex
8,2,6,G.pulex
8,3,5,G.pulex
8,8,0,G.pulex
8,8,0,G.pulex
8,7,1,G.pulex
8,8,0,G.pulex
8,4,4,G.pulex
8,7,1,G.pulex
8,4,4,G.pulex
8,3,5,G.pulex
10,5,5,G.pulex
10,3,7,G.pulex
10,0,10,G.pulex
10,7,3,G.pulex
10,9,1,G.pulex
10,8,2,G.pulex
10,9,1,G.pulex
10,3,7,G.pulex
10,10,0,G.pulex
10,7,3,G.pulex
10,10,0,G.pulex
10,6,4,G.pulex
10,4,6,G.pulex
10,2,8,G.pulex
10,1,9,G.pulex
10,0,10,G.pulex
20,5,15,G.pulex
20,14,6,G.pulex
20,9,11,G.pulex
20,7,13,G.pulex
20,7,13,G.pulex
20,13,7,G.pulex
20,14,6,G.pulex
20,2,18,G.pulex
20,5,15,G.pulex
20,9,11,G.pulex
20,20,0,G.pulex
20,14,6,G.pulex
20,16,4,G.pulex
20,11,9,G.pulex
20,7,13,G.pulex
20,15,5,G.pulex
30,18,12,G.pulex
30,4,26,G.pulex
30,17,13,G.pulex
30,8,22,G.pulex
30,18,12,G.pulex
30,14,16,G.pulex
30,0,30,G.pulex
30,4,26,G.pulex
30,9,21,G.pulex
30,9,21,G.pulex
30,6,24,G.pulex
30,13,17,G.pulex
30,7,23,G.pulex
30,5,25,G.pulex
30,6,24,G.pulex
30,13,17,G.pulex
